Att,date,Value
DesRoll,0.9300088333,0.00
DesRoll,0.9316751833,0.00
DesRoll,0.9333386333,0.00
DesRoll,0.9349961167,0.00
DesRoll,0.9366814000,0.00
DesRoll,0.9383521667,0.00
DesRoll,0.9400113500,0.00
DesRoll,0.9416702167,0.00
DesRoll,0.9433414167,0.00
DesRoll,0.9450013000,0.00
DesRoll,0.9466751333,0.00
DesRoll,0.9483396000,0.00
DesRoll,0.9500070667,0.00
DesRoll,0.9516719167,0.00
DesRoll,0.9533447833,0.00
DesRoll,0.9550034167,0.00
DesRoll,0.9566723000,0.00
DesRoll,0.9583448500,0.00
DesRoll,0.9600094833,0.00
DesRoll,0.9616668500,0.00
DesRoll,0.9633423667,0.00
DesRoll,0.9650033833,0.00
DesRoll,0.9666766333,0.00
DesRoll,0.9683336667,0.00
DesRoll,0.9700062333,0.00
DesRoll,0.9716711667,0.00
DesRoll,0.9733385167,0.00
DesRoll,0.9750001833,0.00
DesRoll,0.9766691500,0.00
DesRoll,0.9783492000,0.00
DesRoll,0.9800100333,0.00
DesRoll,0.9816714333,0.00
DesRoll,0.9833353167,0.00
DesRoll,0.9849997833,0.00
DesRoll,0.9866669000,0.00
DesRoll,0.9883395167,0.00
DesRoll,0.9900044000,0.00
DesRoll,0.9916666000,0.00
DesRoll,0.9933365667,0.00
DesRoll,0.9949964833,0.00
DesRoll,0.9966771500,0.00
DesRoll,0.9983512500,0.00
DesRoll,1.0000030500,0.00
DesRoll,1.0016709333,0.00
DesRoll,1.0033367167,0.00
DesRoll,1.0050017833,0.00
DesRoll,1.0066656500,0.00
DesRoll,1.0083372333,0.00
DesRoll,1.0100036667,0.00
DesRoll,1.0116746167,0.00
DesRoll,1.0133374667,0.00
DesRoll,1.0150030333,0.00
DesRoll,1.0166715500,0.00
DesRoll,1.0183503833,0.00
DesRoll,1.0200041500,0.00
DesRoll,1.0216770833,0.00
DesRoll,1.0233413500,0.00
DesRoll,1.0250096833,0.00
DesRoll,1.0266725833,0.00
DesRoll,1.0283396333,0.00
DesRoll,1.0299998000,0.00
DesRoll,1.0316773500,0.00
DesRoll,1.0333354833,0.00
DesRoll,1.0350074500,0.00
DesRoll,1.0366720500,0.00
DesRoll,1.0383523667,0.00
DesRoll,1.0400039000,0.00
DesRoll,1.0416704833,0.00
DesRoll,1.0433337500,0.00
DesRoll,1.0450058333,0.00
DesRoll,1.0466698333,0.00
DesRoll,1.0483427167,0.00
DesRoll,1.0500050667,0.00
DesRoll,1.0516750000,0.00
DesRoll,1.0533416833,0.00
DesRoll,1.0550066000,0.00
DesRoll,1.0566710833,0.00
DesRoll,1.0583442667,0.00
DesRoll,1.0600088500,0.00
DesRoll,1.0616738000,0.00
DesRoll,1.0633411333,0.00
DesRoll,1.0650015167,0.00
DesRoll,1.0666683667,0.00
DesRoll,1.0683405833,0.00
DesRoll,1.0700067667,0.00
DesRoll,1.0716749167,0.00
DesRoll,1.0733323667,0.00
DesRoll,1.0750015833,0.00
DesRoll,1.0766704667,0.00
DesRoll,1.0783430667,0.00
DesRoll,1.0800033167,0.00
DesRoll,1.0816692167,0.00
DesRoll,1.0833370333,0.00
DesRoll,1.0850020333,0.00
DesRoll,1.0866691000,0.00
DesRoll,1.0883633833,0.00
DesRoll,1.0900030833,0.00
DesRoll,1.0916691833,0.00
DesRoll,1.0933316833,0.00
DesRoll,1.0949968833,0.00
DesRoll,1.0966754333,0.00
DesRoll,1.0983444667,0.00
DesRoll,1.1000100167,0.00
DesRoll,1.1016696000,0.00
DesRoll,1.1033357000,0.00
DesRoll,1.1050037500,0.00
DesRoll,1.1066712833,0.00
DesRoll,1.1083359167,0.00
DesRoll,1.1100073333,0.00
DesRoll,1.1116719167,0.00
DesRoll,1.1133317167,0.00
DesRoll,1.1149983167,0.00
DesRoll,1.1166752000,0.00
DesRoll,1.1183411833,0.00
DesRoll,1.1200103000,0.00
DesRoll,1.1216710833,0.00
DesRoll,1.1233448000,0.00
DesRoll,1.1250047500,0.00
DesRoll,1.1266727833,0.00
DesRoll,1.1283318333,0.00
DesRoll,1.1300061333,0.00
DesRoll,1.1316741500,0.00
DesRoll,1.1333411667,0.00
DesRoll,1.1350045500,0.00
DesRoll,1.1366842833,0.00
DesRoll,1.1383478500,0.00
DesRoll,1.1400085833,0.00
DesRoll,1.1416655167,0.00
DesRoll,1.1433404833,0.00
DesRoll,1.1449966333,0.00
DesRoll,1.1466754333,0.00
DesRoll,1.1483443500,0.00
DesRoll,1.1500014667,0.00
DesRoll,1.1516726833,0.00
DesRoll,1.1533314833,0.00
DesRoll,1.1550048167,0.00
DesRoll,1.1566693333,0.00
DesRoll,1.1583429000,0.00
DesRoll,1.1600093833,0.00
DesRoll,1.1616716333,0.00
DesRoll,1.1633363667,0.00
DesRoll,1.1649977333,0.00
DesRoll,1.1666695500,0.00
DesRoll,1.1683373000,0.00
DesRoll,1.1700066500,0.00
DesRoll,1.1716743500,0.00
DesRoll,1.1733367333,0.00
DesRoll,1.1750081167,0.00
DesRoll,1.1766732667,0.00
DesRoll,1.1783406167,0.00
DesRoll,1.1800017000,0.00
DesRoll,1.1816702000,0.00
DesRoll,1.1833369500,0.00
DesRoll,1.1850022500,0.00
DesRoll,1.1866726500,0.00
DesRoll,1.1883489667,0.00
DesRoll,1.1900042167,0.00
DesRoll,1.1916775167,0.00
DesRoll,1.1933358333,0.00
DesRoll,1.1950052333,0.00
DesRoll,1.1966694167,0.00
DesRoll,1.1983503500,0.00
DesRoll,1.2000043167,0.00
DesRoll,1.2016751167,0.00
DesRoll,1.2033350667,0.00
DesRoll,1.2050139833,0.00
DesRoll,1.2066681000,0.00
DesRoll,1.2083442833,0.00
DesRoll,1.2099977667,0.00
DesRoll,1.2116828667,0.00
DesRoll,1.2133334000,0.00
DesRoll,1.2150063500,0.00
DesRoll,1.2166702167,0.00
DesRoll,1.2183462167,0.00
DesRoll,1.2200042167,0.00
DesRoll,1.2216873167,0.00
DesRoll,1.2233362333,0.00
DesRoll,1.2250079500,0.00
DesRoll,1.2266689167,0.00
DesRoll,1.2283370833,0.00
DesRoll,1.2300035667,0.00
DesRoll,1.2316708000,0.00
DesRoll,1.2333345667,0.00
DesRoll,1.2350048500,0.00
DesRoll,1.2366694833,0.00
DesRoll,1.2383494333,0.00
DesRoll,1.2400036833,0.00
DesRoll,1.2416649833,0.00
DesRoll,1.2433324833,0.00
DesRoll,1.2449986167,0.00
DesRoll,1.2466692167,0.00
DesRoll,1.2483378500,0.00
DesRoll,1.2500062333,0.00
DesRoll,1.2516709167,0.00
DesRoll,1.2533364500,0.00
DesRoll,1.2550100667,0.00
DesRoll,1.2566711667,0.00
DesRoll,1.2583422167,0.00
DesRoll,1.2600026333,0.00
DesRoll,1.2616704167,0.00
DesRoll,1.2633420000,0.00
DesRoll,1.2650203500,0.00
